component,solution1_ic_molperL,solution2_bc_molperL
Ca,3.86497E-04,1.39689E-04
Cl,2.007E-02,1.02E-02
Mg,1.00E-02,5.00E-03
Fe(+2),1.00E-06,2.00E-09
Fe(+3),0.00E+00,0.00E+00
S(6),1.00E-05,2.00E-07
S(-2),0.00E+00,0.00E+00
C(+4),5.86E-04,1.00E-04
C(-4),0.00E+00,0.00E+00
# As(+5), 4.0E-08, 4.0E-12
O(0),2.45E-69,4.18E-06
# Orgc_sed,.89,.000000
pH,9.104E+00,7.00E+00
pe,-4.812E+00,13.1
